{'hand': 'AJAAA', 'type': 1, 'hand_card_ranks': [0, 12, 0, 0, 0], 'bet': '521'}
{'hand': 'KKKKJ', 'type': 1, 'hand_card_ranks': [1, 1, 1, 1, 12], 'bet': '495'}
{'hand': '99J99', 'type': 1, 'hand_card_ranks': [4, 4, 12, 4, 4], 'bet': '472'}
{'hand': '888J8', 'type': 1, 'hand_card_ranks': [5, 5, 5, 12, 5], 'bet': '118'}
{'hand': '777J7', 'type': 1, 'hand_card_ranks': [6, 6, 6, 12, 6], 'bet': '443'}
{'hand': '7JJ77', 'type': 1, 'hand_card_ranks': [6, 12, 12, 6, 6], 'bet': '991'}
{'hand': '6J666', 'type': 1, 'hand_card_ranks': [7, 12, 7, 7, 7], 'bet': '2'}
{'hand': '6JJ66', 'type': 1, 'hand_card_ranks': [7, 12, 12, 7, 7], 'bet': '866'}
{'hand': '55J55', 'type': 1, 'hand_card_ranks': [8, 8, 12, 8, 8], 'bet': '103'}
{'hand': '444J4', 'type': 1, 'hand_card_ranks': [9, 9, 9, 12, 9], 'bet': '402'}
{'hand': '44JJ4', 'type': 1, 'hand_card_ranks': [9, 9, 12, 12, 9], 'bet': '874'}
{'hand': '3333J', 'type': 1, 'hand_card_ranks': [10, 10, 10, 10, 12], 'bet': '598'}
{'hand': '3J3J3', 'type': 1, 'hand_card_ranks': [10, 12, 10, 12, 10], 'bet': '707'}
{'hand': '2J22J', 'type': 1, 'hand_card_ranks': [11, 12, 11, 11, 12], 'bet': '330'}
{'hand': 'JAAJA', 'type': 1, 'hand_card_ranks': [12, 0, 0, 12, 0], 'bet': '50'}
{'hand': 'JKKJK', 'type': 1, 'hand_card_ranks': [12, 1, 1, 12, 1], 'bet': '358'}
{'hand': 'JQQQQ', 'type': 1, 'hand_card_ranks': [12, 2, 2, 2, 2], 'bet': '982'}
{'hand': 'JQQQJ', 'type': 1, 'hand_card_ranks': [12, 2, 2, 2, 12], 'bet': '998'}
{'hand': 'JTTTT', 'type': 1, 'hand_card_ranks': [12, 3, 3, 3, 3], 'bet': '380'}
{'hand': 'J999J', 'type': 1, 'hand_card_ranks': [12, 4, 4, 4, 12], 'bet': '251'}
{'hand': 'J88J8', 'type': 1, 'hand_card_ranks': [12, 5, 5, 12, 5], 'bet': '483'}
{'hand': 'J555J', 'type': 1, 'hand_card_ranks': [12, 8, 8, 8, 12], 'bet': '864'}
{'hand': 'J33JJ', 'type': 1, 'hand_card_ranks': [12, 10, 10, 12, 12], 'bet': '232'}
{'hand': 'J2222', 'type': 1, 'hand_card_ranks': [12, 11, 11, 11, 11], 'bet': '720'}
{'hand': 'JJKKJ', 'type': 1, 'hand_card_ranks': [12, 12, 1, 1, 12], 'bet': '112'}
{'hand': 'JJTTT', 'type': 1, 'hand_card_ranks': [12, 12, 3, 3, 3], 'bet': '774'}
{'hand': 'JJJJ9', 'type': 1, 'hand_card_ranks': [12, 12, 12, 12, 4], 'bet': '570'}
{'hand': 'JJJJ8', 'type': 1, 'hand_card_ranks': [12, 12, 12, 12, 5], 'bet': '151'}
